Manufacturer_Code,Engine_Size,Price_in_thousands,Sales_in_thousands,Horsepower,Year_resale_value
1,1.8,21.5,16.919,140,16.36
1,3.2,28.4,39.384,225,19.875
1,3.2,27.4,14.114,225,18.225
1,3.5,42,8.588,210,29.725
2,1.8,23.99,20.397,150,22.255
2,2.8,33.95,18.78,200,23.555
2,4.2,62,1.38,310,39
3,2.5,26.99,19.747,170,18.073
3,2.8,33.4,9.231,193,28.675
3,2.8,38.9,17.527,193,36.125
4,3.1,21.975,91.561,175,12.475
4,3.8,25.3,39.35,240,13.74
4,3.8,31.965,27.851,205,20.19
4,3.8,27.885,83.257,205,13.36
5,4.6,39.895,63.729,275,22.525
5,4.6,44.475,15.943,275,27.1
5,4.6,39.665,6.536,275,25.725
5,3,31.01,11.185,200,18.225
5,5.7,46.225,14.785,255,18.073
6,2.2,13.26,145.519,115,9.25
6,3.1,16.535,135.126,170,11.225
6,3.1,18.89,24.629,175,10.31
6,3.4,19.39,42.593,180,11.525
6,3.8,24.34,26.402,200,13.025
6,5.7,45.705,17.947,345,36.225
6,1.8,13.96,32.299,120,9.125
6,1,9.235,21.855,55,5.16
6,3.4,18.89,107.995,180,18.073
7,2.5,19.84,7.854,163,12.36
7,2.5,24.495,32.775,168,14.18
7,2.7,22.245,31.148,200,13.725
7,2,16.48,32.306,132,12.64
7,3.5,28.34,13.462,253,17.325
7,3.1,27.4,53.48,186,19.54
7,3.5,29.185,30.696,253,18.073
8,2,12.64,76.034,132,7.75
8,2.5,19.045,4.734,163,12.545
8,2.5,20.23,71.186,168,10.185
8,2.7,22.505,88.028,202,12.275
8,8,69.725,0.916,450,58.47
8,5.2,19.46,227.061,230,15.06
8,3.9,21.315,16.767,175,15.51
8,3.9,18.575,31.038,175,13.425
8,2.5,16.98,111.313,120,11.26
8,5.2,26.31,101.323,230,18.073
8,2.4,19.565,181.749,150,12.025
9,2,12.07,70.227,110,7.425
9,3.8,21.56,113.369,190,12.76
9,2.5,17.035,35.068,170,8.835
9,3,17.885,245.815,155,10.055
9,2,12.315,175.67,107,18.073
9,4.6,22.195,63.403,200,14.21
9,4,31.93,276.747,210,16.64
9,3,21.41,155.787,150,13.175
9,4.6,36.135,125.338,240,23.575
9,2.5,12.05,220.65,119,7.85
9,4.6,26.935,540.561,220,15.075
10,1.6,12.885,199.685,106,9.85
10,2.3,15.35,230.902,135,13.21
10,2,20.55,73.203,146,17.71
10,3.2,26.6,12.855,205,17.525
10,3.5,26,76.029,210,19.49
11,1.5,9.699,41.184,92,5.86
11,2,11.799,66.692,140,7.825
11,2.4,14.999,29.45,148,8.91
12,3,29.465,23.713,227,19.69
13,3,42.8,15.467,240,18.073
14,2.5,14.46,55.557,120,13.475
14,4,21.62,80.556,190,13.775
14,4,26.895,157.04,195,18.81
15,3,31.505,24.072,210,26.975
15,3,37.805,12.698,225,32.075
15,4,46.305,3.334,300,18.073
15,4,54.005,6.375,290,40.375
15,4.7,60.105,9.126,230,18.073
15,3,34.605,51.238,220,18.073
16,4.6,39.08,13.798,275,20.525
16,4.6,43.33,48.911,215,21.725
16,5.4,42.66,22.925,300,18.073
17,1.8,13.987,26.232,113,8.325
17,2.4,19.047,42.541,154,10.395
17,2.4,17.357,55.616,145,10.595
17,3.5,24.997,5.711,210,16.575
17,3,25.45,0.11,161,20.94
17,3.5,31.807,11.337,200,19.125
17,3,22.527,39.348,173,13.88
18,2,16.24,14.351,125,8.8
18,2,16.54,26.529,125,13.89
18,3,19.035,67.956,153,11.03
18,4.6,22.605,81.174,200,14.875
18,4,27.56,27.609,210,20.43
18,3.3,22.51,20.38,170,14.795
19,2.3,31.75,18.392,185,26.05
19,3.2,49.9,27.602,221,41.45
19,4.3,69.7,16.774,275,50.375
19,5,82.6,3.311,302,58.6
19,2.3,38.9,7.998,190,18.073
19,2.3,41,1.526,185,18.073
19,3.2,41.6,11.592,215,18.073
19,5,85.5,0.954,302,18.073
19,3.2,35.3,28.976,215,18.073
20,1.8,13.499,42.643,126,8.45
20,2.4,20.39,88.094,155,11.295
20,3,26.249,79.853,222,15.125
20,3.3,26.399,27.308,170,15.38
20,3.3,29.299,42.574,170,17.81
20,3.3,22.799,54.158,170,18.073
20,3.3,17.89,65.005,170,18.073
21,3.1,18.145,1.112,150,11.24
21,3.5,24.15,38.554,215,18.073
21,2.4,18.27,80.255,150,18.073
21,4,36.229,14.69,250,19.89
21,4.3,31.598,20.017,190,19.925
21,3.4,25.345,24.361,185,15.24
22,2,12.64,32.734,132,7.75
22,2,16.08,5.24,132,9.8
22,2.4,18.85,24.155,150,12.025
22,3.5,43,1.872,253,18.073
23,2.4,21.61,51.645,150,13.79
23,3.4,19.72,131.097,175,10.29
23,3.8,25.31,19.911,200,17.805
23,3.8,21.665,92.364,195,14.01
23,3.8,23.755,35.945,205,13.225
23,3.4,25.635,39.572,185,18.073
24,2.7,41.43,8.982,217,41.25
24,3.4,71.02,1.28,300,60.625
24,3.4,74.97,1.866,300,67.55
25,2.3,33.12,9.191,170,18.073
25,2,26.1,12.115,185,18.073
26,1.9,10.685,80.62,100,9.2
26,1.9,12.535,24.546,100,10.59
26,1.9,14.29,5.223,124,10.79
26,2.2,18.835,8.472,137,18.073
26,2.2,15.01,49.989,137,18.073
27,2.5,22.695,47.107,165,18.073
27,2.5,20.095,33.028,165,18.073
28,1.8,13.108,142.535,120,10.025
28,2.2,17.518,247.994,133,13.245
28,3,25.545,63.849,210,18.14
28,1.8,16.875,33.269,140,15.445
28,2.4,11.528,84.087,142,9.575
28,3,22.368,65.119,194,18.073
28,2,16.888,25.106,127,13.325
28,2.7,22.288,68.411,150,19.425
